工種,カテゴリ,項目,差分B説明
00_32-4527_裏込砕石工,変更質問(差分B),(超低・後方バックホウ)排ガス機械の選択,○(TCがカバー)
00_32-4527_裏込砕石工,変更質問(差分B),資材計上区分,○(TCがカバー)
02_605773_大型ブレーカ,変更質問(差分B),規格選択(損料・油圧式),○(TCがカバー)
03_607674_送気用設備運転費,変更質問(差分B),運転日数,○(TCがカバー)
03_607674_送気用設備運転費,文字変更(リネーム),空気圧縮機延運転時間(台数分合計),○(差分Bの表示名変更で説明)
03_607674_送気用設備運転費,計上行,S1,○(代価表追加で裏付け)
03_607674_送気用設備運転費,計上行,S2,○(代価表追加で裏付け)
03_607674_送気用設備運転費,計上行,S6,○(代価表追加で裏付け)
05_605171_掘削等,変更質問(差分B),(コンクリート吹付機)排ガス機械の選択,○(TCがカバー)
05_605171_掘削等,変更質問(差分B),(ドリルジャンボ)排ガス機械の選択,○(TCがカバー)
05_605171_掘削等,変更質問(差分B),(ホイールローダ)排ガス機械の選択,○(TCがカバー)
06_606964_土のう積工,変更質問(差分B),作業内容,○(TCがカバー)
06_606964_土のう積工,変更質問(差分B),労務費の適用,×(TC未カバー=乖離)
06_606964_土のう積工,変更質問(差分B),土のう種類,○(TCがカバー)
06_606964_土のう積工,変更質問(差分B),資材計上区分,○(TCがカバー)
06_606964_土のう積工,計上行,S4,○(代価表追加で裏付け)
06_606964_土のう積工,計上行,S5,○(代価表追加で裏付け)
07_608358_インターロッキングブロック工,変更質問(差分B),敷材料の種類,○(TCがカバー)
07_608358_インターロッキングブロック工,変更質問(差分B),資材計上区分,○(TCがカバー)
09_619550_養生マット(材料費)【施工P】,変更質問(差分B),1m2当り養生マット使用量,○(TCがカバー)
09_619550_養生マット(材料費)【施工P】,変更質問(差分B),養生マット材料の単位選択,○(TCがカバー)
09_619550_養生マット(材料費)【施工P】,変更質問(差分B),養生マット規格,○(TCがカバー)
11_622069_ICT建設機械経費加算額(小規模土工),変更質問(差分B),工種区分,○(TCがカバー)
11_622069_ICT建設機械経費加算額(小規模土工),変更質問(差分B),施工数量,○(TCがカバー)
12_619272_重建設機械分解組立,変更質問(差分B),機械区分,×(TC未カバー=乖離)
12_619272_重建設機械分解組立,変更質問(差分B),機械質量区分,○(TCがカバー)
13_622072_MC・MGバックホウ技術(ほ場整備整地工),文字変更(リネーム),1日当りのMC/MGバックホウ技術機械経費加算額,○(差分Bの表示名変更で説明)
21_623816_管(函)渠型側溝,変更質問(差分B),側溝規格,○(TCがカバー)
21_623816_管(函)渠型側溝,変更質問(差分B),内径又は内空幅(mm),○(TCがカバー)
22_605866_路上路盤再生工,変更質問(差分B),(モータグレーダ)排ガス機械の選択,○(TCがカバー)
