提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,差分,代価表,代価表:4,代価表「TankaCD:32-2-101-32-23」追加,任意,任意,代価表「TankaCD:32-2-101-32-23」が1行で表示されること（目視確認）,新規代価表の表示確認
P-002,差分,代価表,代価表:5,代価表「諸雑費」追加,任意,任意,代価表「諸雑費」が1行で表示されること（目視確認）,新規代価表の表示確認
P-003,差分,計算表,計算表変数:2,計算表変数「S4」変更,任意,任意,「S4」を含む計算結果が正しいこと,計算式: (F1*c1+F2*c2+F3*c3)/100*Z*10→S4b/100*Z*10
P-004,差分,計算表,計算表変数:3,計算表変数「S4b」変更,任意,任意,「S4b」を含む計算結果が正しいこと,計算式: (F1*c1+F2*c2+F3*c3)/100*Z→
P-005,差分,計算表,計算表変数:4,計算表変数「S1」変更,任意,任意,「S1」を含む計算結果が正しいこと,"計算式: Z*0.02*10→IF(SFG==1, S1b, (F1*c1+F2*c2+F3*c3))/100*Z*10"
P-006,差分,計算表,計算表変数:5,計算表変数「S1b」変更,任意,任意,「S1b」を含む計算結果が正しいこと,計算式: Z*10→
P-007,差分,計算表,計算表変数:6,計算表変数「S1'」変更,任意,任意,「S1'」を含む計算結果が正しいこと,計算式: →(F1*c1+F2*c2+F3*c3)/100*Z
P-008,差分,計算表,計算表変数:7,計算表変数「S2」変更,任意,任意,「S2」を含む計算結果が正しいこと,固定値→計算式: 2.0→Z*0.02*10
P-009,差分,計算表,計算表変数:8,計算表変数「S3」変更,任意,任意,「S3」を含む計算結果が正しいこと,固定値→計算式: 1.0→Z*10
P-010,差分,計算表,計算表変数:9,計算表変数「Z」変更,任意,任意,「Z」を含む計算結果が正しいこと,固定値→計算式: 1.2→
P-011,差分,計算表,計算表変数:10,計算表変数「F1」変更,任意,任意,「F1」を含む計算結果が正しいこと,計算式→固定値: →2.0
P-012,差分,計算表,計算表変数:11,計算表変数「F2」変更,任意,任意,「F2」を含む計算結果が正しいこと,計算式→固定値: →1.0
P-013,差分,計算表,計算表変数:12,計算表変数「F3」変更,任意,任意,「F3」を含む計算結果が正しいこと,計算式→固定値: →1.2
P-014,差分,計算表,計算表変数:13,計算表変数「S5」変更,任意,任意,「S5」を含む計算結果が正しいこと,"計算式: if(C == 3, 2,
if(C == 5, 2,
if(FGS1 > 0, FGS1,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0)))))→"
P-015,差分,計算表,計算表変数:14,計算表変数「CD:14」変更,任意,任意,「CD:14」を含む計算結果が正しいこと,"計算式: if(C == 3, 1,
if(C == 5, 1,
if(LEV_D > 0, LEV_D,
if(FGS1 > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0))))))→"
P-016,差分,計算表,計算表変数:15,計算表変数「<内部変数>」変更,任意,任意,「<内部変数>」を含む計算結果が正しいこと,"計算式: if(zk > 0, zk,
if(RFG > 0, RFG,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0))))→"
