テストID,テスト区分,作業区分,層数区分,資材計上区分,ペイント材料費の単位選択(1層目),ペイント材料費の単位選択(2層目),条件選択(2層目),ペイント標準使用量(はけ塗)(2層目),希釈剤材料費の単位選択(2層目),素地調整費計上区分,100m2・1回当りのペイント使用量(1層目),100m2・1回当りの希釈剤使用量(1層目),100m2・1回当りのペイント使用量(2層目),100m2・1回当りの希釈剤使用量(2層目),ペイント材料費の単位選択(3層目),希釈剤材料費の単位選択(3層目),ペイント材料費の単位選択(4層目),希釈剤材料費の単位選択(4層目),ペイント材料費の単位選択(5層目),希釈剤材料費の単位選択(5層目),ペイント材料費の単位選択(6層目),希釈剤材料費の単位選択(6層目),期待:S1,期待:S21,期待:S31,期待:S22,期待:S32,期待:S23,期待:S33,期待:S24,期待:S34,期待:S25,期待:S35,期待:S26,期待:S36,選択肢の適切さ確認,規格名計上
TC-011,差分,はけ塗,3層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「L」単位の希釈剤材料費,計上する,任意,任意,-,-,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,-,-,6.3,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「3層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
TC-012,差分,はけ塗,3層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「kg」単位の希釈剤材料費,計上する,任意,任意,-,-,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,-,-,6.3,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「3層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「kg」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
TC-013,差分,はけ塗,3層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「L」「kg」以外の単位の希釈剤材料費,計上する,任意,任意,-,任意,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,-,-,6.3,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「3層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「L」「kg」以外の単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
100m2・1回当りの希釈剤使用量(2層目)(2026年新規追加)
・100m2・1回当りの希釈剤使用量(2層目)（表示される質問）が外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
TC-014,差分,はけ塗,3層,計上する,「kg」以外の単位のペイント材材料費,「kg」以外の単位のペイント材材料費,-,-,-,計上する,任意,任意,任意,任意,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,-,-,6.3,計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「3層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りのペイント使用量(2層目)(2026年新規追加)
・100m2・1回当りのペイント使用量(2層目)（表示される質問）が外部設計と正しいか
100m2・1回当りの希釈剤使用量(2層目)(2026年新規追加)
・100m2・1回当りの希釈剤使用量(2層目)（表示される質問）が外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",-
TC-015,差分,はけ塗,3層,計上しない,-,-,-,-,-,計上する,-,-,-,-,-,-,-,-,-,-,-,-,6.3,計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「3層」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",-
TC-016,差分,はけ塗,4層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「L」単位の希釈剤材料費,計上する,任意,任意,-,-,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,8.4,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「4層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(5層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(5層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
TC-017,差分,はけ塗,4層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「kg」単位の希釈剤材料費,計上する,任意,任意,-,-,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,8.4,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「4層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「kg」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(5層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(5層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
TC-018,差分,はけ塗,4層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「L」「kg」以外の単位の希釈剤材料費,計上する,任意,任意,-,任意,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,8.4,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「4層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「L」「kg」以外の単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
100m2・1回当りの希釈剤使用量(2層目)(2026年新規追加)
・100m2・1回当りの希釈剤使用量(2層目)（表示される質問）が外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(5層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(5層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
TC-019,差分,はけ塗,4層,計上する,「kg」以外の単位のペイント材材料費,「kg」以外の単位のペイント材材料費,-,-,-,計上する,任意,任意,任意,任意,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,-,-,8.4,計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「4層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りのペイント使用量(2層目)(2026年新規追加)
・100m2・1回当りのペイント使用量(2層目)（表示される質問）が外部設計と正しいか
100m2・1回当りの希釈剤使用量(2層目)(2026年新規追加)
・100m2・1回当りの希釈剤使用量(2層目)（表示される質問）が外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(5層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(5層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",-
TC-020,差分,はけ塗,4層,計上しない,-,-,-,-,-,計上する,-,-,-,-,-,-,-,-,-,-,-,-,8.4,計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),計算結果が正しいか,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「4層」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",-
TC-021,差分,はけ塗,5層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「L」単位の希釈剤材料費,計上する,任意,任意,-,-,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,10.5,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「5層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(5層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(5層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(6層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(6層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
TC-022,差分,はけ塗,5層,計上する,「kg」以外の単位のペイント材材料費,「kg」単位のペイント材材料費,下塗,14 (一般さび止めペイント),「kg」単位の希釈剤材料費,計上する,任意,任意,-,-,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,「kg」単位のペイント材材料費,「L」単位の希釈剤材料費,10.5,計算結果が正しいか,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),14,(評価不能),"・【外部条件 kk=2】の分岐挙動が外部設計どおりか（今回追加/変更された経路）
層数区分(2026年新規追加)
・「5層」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(1層目)(選択肢追加)
・「「kg」以外の単位のペイント材材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(2層目)(選択肢追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(2層目)(2026年新規追加)
・「「kg」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
条件選択(2層目)(2026年新規追加)
・「下塗」と表示されているが、外部設計と正しいか
100m2・1回当りのペイント使用量(1層目)(選択肢削除)
・100m2・1回当りのペイント使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
100m2・1回当りの希釈剤使用量(1層目)(選択肢削除)
・100m2・1回当りの希釈剤使用量(1層目)（表示される質問）が外部設計と正しいか
・削除された選択肢(1)が表示されないこと
ペイント標準使用量(はけ塗)(2層目)(2026年新規追加)
・「14 (一般さび止めペイント)」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(3層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(3層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(4層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(4層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(5層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(5層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
ペイント材料費の単位選択(6層目)(2026年新規追加)
・「「kg」単位のペイント材材料費」と表示されているが、外部設計と正しいか
希釈剤材料費の単位選択(6層目)(2026年新規追加)
・「「L」単位の希釈剤材料費」と表示されているが、外部設計と正しいか
・追加された代価表行と数量(数率)が外部設計に沿っているか
・代価名「工場塗装(#594717)」と表示されているが、外部設計と正しいか(文字修正)",・ペイント標準使用量(はけ塗)(2層目) の規格名計上が意図通りの場所に正しく計上されているか
